Id,SalePrice
1461,115147.84712682113
1462,153520.8858335494
1463,182972.28765146536
1464,204934.56216923363
1465,195015.3347488696
1466,173175.74274622797
1467,177599.22601340202
1468,170429.36505461816
1469,192047.75300947015
1470,122790.4376122391
1471,181227.51159402955
1472,100795.60171335869
1473,100887.80305372941
1474,156366.4922348191
1475,122502.31006245571
1476,338396.56271318335
1477,231704.59646343533
1478,294194.43741142354
1479,296180.6149286225
1480,457602.16538664256
1481,331048.13415695966
1482,226359.9504065862
1483,172088.1673780222
1484,177257.53388101695
1485,197303.03237656388
1486,200235.41169126055
1487,310660.8377430751
1488,226524.95369627856
1489,183566.24589982882
1490,231825.40062931855
1491,184645.49743205702
1492,101958.57600696925
1493,167767.27929776107
1494,282223.3733938729
1495,296633.83679055393
1496,240850.68922164195
1497,175785.90271343858
1498,174240.12733481755
1499,174008.1778546015
1500,168855.42462670154
1501,174234.22043489997
1502,166870.6698431405
1503,256609.58287759117
1504,237609.6734282982
1505,226910.7434791403
1506,187581.10645508033
1507,245495.15633503714
1508,193723.89976515272
1509,159422.23106716608
1510,136938.716704642
1511,147364.34346112353
1512,166095.75990024096
1513,142235.49206993912
1514,137212.4714466032
1515,193227.86907083332
1516,150963.9235257022
1517,178482.5855172958
1518,134258.51992677888
1519,195237.59123096225
1520,131258.25637581365
1521,128993.25082054183
1522,169071.39293970514
1523,114027.52184714159
1524,117801.5164626536
1525,121197.67418808176
1526,113756.19749682053
1527,111923.37769880891
1528,136374.32371048897
1529,140706.03305665543
1530,170469.76823809257
1531,128631.92956534418
1532,103549.33905920754
1533,140610.29448348592
1534,116744.6015795619
1535,155202.67629968777
1536,112161.20499427247
1537,78057.4951462887
1538,140882.20391324573
1539,180541.43945460935
1540,98450.34473958607
1541,131526.33348417276
1542,131279.8962446102
1543,175278.59057988736
1544,89441.24735072652
1545,108101.26918821185
1546,130324.62871002068
1547,121159.07006850287
1548,119899.16407265318
1549,115000.11767953081
1550,128090.00971587462
1551,118460.1396235442
1552,138767.661219939
1553,129688.08197211954
1554,125225.40874154228
1555,179646.06702532593
1556,2.2707107693971297e-13
1557,100515.51922439507
1558,108788.85893751172
1559,94733.9805960571
1560,146000.58945933875
1561,112466.4825713504
1562,131030.78148431832
1563,119033.36117854089
